x,y,p,phi_on_grid
0.0111111,0.261111,1.86806,1.86804
0.0111111,0.266667,1.86261,1.86259
0.0111111,0.272222,1.85705,1.85703
0.0111111,0.277778,1.8514,1.85139
0.0111111,0.283333,1.84566,1.84564
0.0111111,0.288889,1.83982,1.8398
0.0111111,0.294444,1.83389,1.83387
0.0111111,0.3,1.82786,1.82785
0.0111111,0.305556,1.82175,1.82174
0.0111111,0.311111,1.81555,1.81554
0.0111111,0.316667,1.80926,1.80925
0.0111111,0.322222,1.80288,1.80288
0.0111111,0.327778,1.79642,1.79642
0.0111111,0.333333,1.78988,1.78988
0.0111111,0.338889,1.78325,1.78325
0.0111111,0.344444,1.77654,1.77655
0.0111111,0.35,1.76976,1.76976
0.0111111,0.355556,1.76289,1.7629
0.0111111,0.361111,1.75595,1.75596
0.0111111,0.366667,1.74893,1.74894
0.0111111,0.372222,1.74184,1.74185
0.0111111,0.377778,1.73468,1.73469
0.0111111,0.383333,1.72745,1.72746
0.0111111,0.388889,1.72015,1.72016
0.0111111,0.394444,1.71278,1.71279
0.0111111,0.4,1.70534,1.70535
0.0111111,0.405556,1.69784,1.69785
0.0111111,0.411111,1.69028,1.69029
0.0111111,0.416667,1.68266,1.68267
0.0111111,0.422222,1.67497,1.67499
0.0111111,0.427778,1.66723,1.66725
0.0111111,0.433333,1.65944,1.65946
0.0111111,0.438889,1.65159,1.65161
0.0111111,0.444444,1.64369,1.64371
0.0111111,0.45,1.63574,1.63576
0.0111111,0.455556,1.62774,1.62776
0.0111111,0.461111,1.61969,1.61971
0.0111111,0.466667,1.6116,1.61162
0.0111111,0.472222,1.60347,1.60349
0.0111111,0.477778,1.59529,1.59532
0.0111111,0.483333,1.58708,1.58711
0.0111111,0.488889,1.57883,1.57886
0.0111111,0.494444,1.57054,1.57057
0.0166667,0,1.99944,1.99944
0.0166667,0.00555556,1.99938,1.99938
0.0166667,0.0111111,1.99921,1.9992
0.0166667,0.0166667,1.9989,1.99889
0.0166667,0.0222222,1.99847,1.99846
0.0166667,0.0277778,1.99791,1.9979
0.0166667,0.0333333,1.99724,1.99722
0.0166667,0.0388889,1.99644,1.99642
0.0166667,0.0444444,1.99551,1.9955
0.0166667,0.05,1.99447,1.99445
0.0166667,0.0555556,1.9933,1.99328
0.0166667,0.0611111,1.99201,1.99199
0.0166667,0.0666667,1.9906,1.99058
0.0166667,0.0722222,1.98906,1.98904
0.0166667,0.0777778,1.98741,1.98738
0.0166667,0.0833333,1.98563,1.9856
0.0166667,0.0888889,1.98373,1.9837
0.0166667,0.0944444,1.98171,1.98168
0.0166667,0.1,1.97957,1.97954
0.0166667,0.105556,1.97731,1.97728
0.0166667,0.111111,1.97494,1.97491
0.0166667,0.116667,1.97244,1.97241
0.0166667,0.122222,1.96982,1.96979
0.0166667,0.127778,1.96709,1.96706
0.0166667,0.133333,1.96424,1.96421
0.0166667,0.138889,1.96127,1.96124
0.0166667,0.144444,1.95818,1.95815
0.0166667,0.15,1.95498,1.95495
0.0166667,0.155556,1.95167,1.95163
0.0166667,0.161111,1.94823,1.9482
0.0166667,0.166667,1.94469,1.94466
0.0166667,0.172222,1.94104,1.941
0.0166667,0.177778,1.93727,1.93723
0.0166667,0.183333,1.93339,1.93335
0.0166667,0.188889,1.92939,1.92936
0.0166667,0.194444,1.92528,1.92526
0.0166667,0.2,1.92107,1.92104
0.0166667,0.205556,1.91675,1.91672
0.0166667,0.211111,1.91232,1.9123
0.0166667,0.216667,1.90778,1.90776
0.0166667,0.222222,1.90315,1.90312
0.0166667,0.227778,1.8984,1.89837
0.0166667,0.233333,1.89355,1.89352
0.0166667,0.238889,1.8886,1.88857
0.0166667,0.244444,1.88354,1.88351
0.0166667,0.25,1.87839,1.87835
0.0166667,0.255556,1.87313,1.87309
0.0166667,0.261111,1.86777,1.86773
0.0166667,0.266667,1.86231,1.86228
0.0166667,0.272222,1.85675,1.85673
0.0166667,0.277778,1.8511,1.85108
0.0166667,0.283333,1.84536,1.84533
0.0166667,0.288889,1.83952,1.8395
0.0166667,0.294444,1.83358,1.83357
0.0166667,0.3,1.82756,1.82754
0.0166667,0.305556,1.82145,1.82143
0.0166667,0.311111,1.81524,1.81523
0.0166667,0.316667,1.80896,1.80894
0.0166667,0.322222,1.80258,1.80257
0.0166667,0.327778,1.79612,1.79611
0.0166667,0.333333,1.78958,1.78957
0.0166667,0.338889,1.78295,1.78294
0.0166667,0.344444,1.77624,1.77624
0.0166667,0.35,1.76945,1.76945
0.0166667,0.355556,1.76259,1.76259
0.0166667,0.361111,1.75564,1.75565
0.0166667,0.366667,1.74863,1.74863
0.0166667,0.372222,1.74153,1.74154
0.0166667,0.377778,1.73437,1.73438
0.0166667,0.383333,1.72714,1.72715
0.0166667,0.388889,1.71983,1.71985
0.0166667,0.394444,1.71246,1.71248
0.0166667,0.4,1.70503,1.70504
0.0166667,0.405556,1.69753,1.69755
0.0166667,0.411111,1.68996,1.68999
0.0166667,0.416667,1.68234,1.68236
0.0166667,0.422222,1.67466,1.67468
0.0166667,0.427778,1.66692,1.66694
0.0166667,0.433333,1.65913,1.65915
0.0166667,0.438889,1.65127,1.6513
0.0166667,0.444444,1.64337,1.6434
0.0166667,0.45,1.63542,1.63545
0.0166667,0.455556,1.62742,1.62745
0.0166667,0.461111,1.61937,1.61941
0.0166667,0.466667,1.61128,1.61132
0.0166667,0.472222,1.60315,1.60318
0.0166667,0.477778,1.59497,1.59501
0.0166667,0.483333,1.58676,1.5868
0.0166667,0.488889,1.57851,1.57855
0.0166667,0.494444,1.57022,1.57026
0.0222222,0,1.99901,1.99901
0.0222222,0.00555556,1.99895,1.99895
0.0222222,0.0111111,1.99877,1.99877
0.0222222,0.0166667,1.99847,1.99846
0.0222222,0.0222222,1.99803,1.99803
0.0222222,0.0277778,1.99747,1.99747
0.0222222,0.0333333,1.99681,1.99679
0.0222222,0.0388889,1.99601,1.99599
0.0222222,0.0444444,1.99508,1.99507
0.0222222,0.05,1.99403,1.99402
0.0222222,0.0555556,1.99287,1.99285
0.0222222,0.0611111,1.99159,1.99156
0.0222222,0.0666667,1.99017,1.99014
0.0222222,0.0722222,1.98863,1.98861
0.0222222,0.0777778,1.98698,1.98695
0.0222222,0.0833333,1.98521,1.98517
0.0222222,0.0888889,1.98331,1.98327
0.0222222,0.0944444,1.98129,1.98125
0.0222222,0.1,1.97915,1.97911
0.0222222,0.105556,1.97689,1.97685
0.0222222,0.111111,1.97452,1.97447
0.0222222,0.116667,1.97202,1.97198
0.0222222,0.122222,1.9694,1.96936
0.0222222,0.127778,1.96666,1.96662
0.0222222,0.133333,1.96382,1.96377
0.0222222,0.138889,1.96085,1.9608
0.0222222,0.144444,1.95777,1.95772
0.0222222,0.15,1.95457,1.95452
0.0222222,0.155556,1.95125,1.9512
0.0222222,0.161111,1.94781,1.94777
0.0222222,0.166667,1.94427,1.94423
0.0222222,0.172222,1.94062,1.94057
0.0222222,0.177778,1.93685,1.9368
0.0222222,0.183333,1.93297,1.93292
0.0222222,0.188889,1.92897,1.92893
0.0222222,0.194444,1.92486,1.92482
0.0222222,0.2,1.92065,1.92061
0.0222222,0.205556,1.91632,1.91629
0.0222222,0.211111,1.91189,1.91186
0.0222222,0.216667,1.90736,1.90733
0.0222222,0.222222,1.90272,1.90269
0.0222222,0.227778,1.89798,1.89794
0.0222222,0.233333,1.89313,1.89309
0.0222222,0.238889,1.88818,1.88813
0.0222222,0.244444,1.88312,1.88308
0.0222222,0.25,1.87796,1.87792
0.0222222,0.255556,1.8727,1.87266
0.0222222,0.261111,1.86734,1.8673
0.0222222,0.266667,1.86188,1.86185
0.0222222,0.272222,1.85633,1.85629
0.0222222,0.277778,1.85067,1.85065
0.0222222,0.283333,1.84493,1.8449
0.0222222,0.288889,1.83909,1.83906
0.0222222,0.294444,1.83316,1.83313
0.0222222,0.3,1.82713,1.82711
