(h + 4*t)*(x+5)^16;4*t*(x+5)^15;(4*h + 9*t)*(x+5)^14;(10*h + 13*t)*(x+5)^13;(7*h + 9*t)*(x+5)^12;(15*h + 15*t)*(x+5)^11;(6*h + 14*t)*(x+5)^10;(7*h + 10*t)*(x+5)^9;(16*h + 13*t)*(x+5)^8;13*t*(x+5)^7;(13*h + 8*t)*(x+5)^6;(7*h + 4*t)*(x+5)^5;(10*h + 8*t)*(x+5)^4;(8*h + 5*t)*(x+5)^3;(16*h + 6*t)*(x+5)^2;(12*h + 13*t)*(x+5);(15*h + t)
(h + 5*t)*(x+5)^16;(3*h + 9*t)*(x+5)^15;3*h*(x+5)^14;(11*h + 2*t)*(x+5)^13;(14*h + 5*t)*(x+5)^12;(11*h + 12*t)*(x+5)^11;(7*h + 16*t)*(x+5)^10;(2*h + 3*t)*(x+5)^9;(16*h + 12*t)*(x+5)^8;(14*h + 8*t)*(x+5)^7;14*h*(x+5)^6;(6*h + 15*t)*(x+5)^5;(3*h + 12*t)*(x+5)^4;(9*h + 9*t)*(x+5)^3;(16*h + 5*t)*(x+5)^2;5*t*(x+5);(6*h + t)
(h + 6*t)*(x+5)^16;(6*h + 14*t)*(x+5)^15;(2*h + 8*t)*(x+5)^14;(12*h + 8*t)*(x+5)^13;(4*h + t)*(x+5)^12;(7*h + 9*t)*(x+5)^11;(8*h + t)*(x+5)^10;(14*h + 13*t)*(x+5)^9;(16*h + 11*t)*(x+5)^8;(11*h + 3*t)*(x+5)^7;(15*h + 9*t)*(x+5)^6;(5*h + 9*t)*(x+5)^5;(13*h + 16*t)*(x+5)^4;(10*h + 13*t)*(x+5)^3;(16*h + 4*t)*(x+5)^2;(5*h + 14*t)*(x+5);(14*h + t)
(h + 7*t)*(x+5)^16;(9*h + 2*t)*(x+5)^15;(h + 16*t)*(x+5)^14;(13*h + 14*t)*(x+5)^13;(11*h + 14*t)*(x+5)^12;(3*h + 6*t)*(x+5)^11;(9*h + 3*t)*(x+5)^10;(9*h + 6*t)*(x+5)^9;(16*h + 10*t)*(x+5)^8;(8*h + 15*t)*(x+5)^7;(16*h + t)*(x+5)^6;(4*h + 3*t)*(x+5)^5;(6*h + 3*t)*(x+5)^4;11*h*(x+5)^3;(16*h + 3*t)*(x+5)^2;(10*h + 6*t)*(x+5);(5*h + t)
(h + 8*t)*(x+5)^16;(12*h + 7*t)*(x+5)^15;7*t*(x+5)^14;(14*h + 3*t)*(x+5)^13;(h + 10*t)*(x+5)^12;(16*h + 3*t)*(x+5)^11;(10*h + 5*t)*(x+5)^10;(4*h + 16*t)*(x+5)^9;(16*h + 9*t)*(x+5)^8;(5*h + 10*t)*(x+5)^7;10*t*(x+5)^6;(3*h + 14*t)*(x+5)^5;(16*h + 7*t)*(x+5)^4;(12*h + 4*t)*(x+5)^3;(16*h + 2*t)*(x+5)^2;(15*h + 15*t)*(x+5);(13*h + t)
(h + 9*t)*(x+5)^16;(15*h + 12*t)*(x+5)^15;(16*h + 15*t)*(x+5)^14;(15*h + 9*t)*(x+5)^13;(8*h + 6*t)*(x+5)^12;12*h*(x+5)^11;(11*h + 7*t)*(x+5)^10;(16*h + 9*t)*(x+5)^9;(16*h + 8*t)*(x+5)^8;(2*h + 5*t)*(x+5)^7;(h + 2*t)*(x+5)^6;(2*h + 8*t)*(x+5)^5;(9*h + 11*t)*(x+5)^4;(13*h + 8*t)*(x+5)^3;(16*h + t)*(x+5)^2;(3*h + 7*t)*(x+5);(4*h + t)
(h + 10*t)*(x+5)^16;h*(x+5)^15;(15*h + 6*t)*(x+5)^14;(16*h + 15*t)*(x+5)^13;(15*h + 2*t)*(x+5)^12;(8*h + 14*t)*(x+5)^11;(12*h + 9*t)*(x+5)^10;(11*h + 2*t)*(x+5)^9;(16*h + 7*t)*(x+5)^8;16*h*(x+5)^7;(2*h + 11*t)*(x+5)^6;(h + 2*t)*(x+5)^5;(2*h + 15*t)*(x+5)^4;(14*h + 12*t)*(x+5)^3;16*h*(x+5)^2;(8*h + 16*t)*(x+5);(12*h + t)
(h + 11*t)*(x+5)^16;(4*h + 5*t)*(x+5)^15;(14*h + 14*t)*(x+5)^14;4*t*(x+5)^13;(5*h + 15*t)*(x+5)^12;(4*h + 11*t)*(x+5)^11;(13*h + 11*t)*(x+5)^10;(6*h + 12*t)*(x+5)^9;(16*h + 6*t)*(x+5)^8;(13*h + 12*t)*(x+5)^7;(3*h + 3*t)*(x+5)^6;13*t*(x+5)^5;(12*h + 2*t)*(x+5)^4;(15*h + 16*t)*(x+5)^3;(16*h + 16*t)*(x+5)^2;(13*h + 8*t)*(x+5);(3*h + t)
(h + 12*t)*(x+5)^16;(7*h + 10*t)*(x+5)^15;(13*h + 5*t)*(x+5)^14;(h + 10*t)*(x+5)^13;(12*h + 11*t)*(x+5)^12;8*t*(x+5)^11;(14*h + 13*t)*(x+5)^10;(h + 5*t)*(x+5)^9;(16*h + 5*t)*(x+5)^8;(10*h + 7*t)*(x+5)^7;(4*h + 12*t)*(x+5)^6;(16*h + 7*t)*(x+5)^5;(5*h + 6*t)*(x+5)^4;(16*h + 3*t)*(x+5)^3;(16*h + 15*t)*(x+5)^2;h*(x+5);(11*h + t)
(h + 13*t)*(x+5)^16;(10*h + 15*t)*(x+5)^15;(12*h + 13*t)*(x+5)^14;(2*h + 16*t)*(x+5)^13;(2*h + 7*t)*(x+5)^12;(13*h + 5*t)*(x+5)^11;(15*h + 15*t)*(x+5)^10;(13*h + 15*t)*(x+5)^9;(16*h + 4*t)*(x+5)^8;(7*h + 2*t)*(x+5)^7;(5*h + 4*t)*(x+5)^6;(15*h + t)*(x+5)^5;(15*h + 10*t)*(x+5)^4;7*t*(x+5)^3;(16*h + 14*t)*(x+5)^2;(6*h + 9*t)*(x+5);(2*h + t)
(h + 14*t)*(x+5)^16;(13*h + 3*t)*(x+5)^15;(11*h + 4*t)*(x+5)^14;(3*h + 5*t)*(x+5)^13;(9*h + 3*t)*(x+5)^12;(9*h + 2*t)*(x+5)^11;16*h*(x+5)^10;(8*h + 8*t)*(x+5)^9;(16*h + 3*t)*(x+5)^8;(4*h + 14*t)*(x+5)^7;(6*h + 13*t)*(x+5)^6;(14*h + 12*t)*(x+5)^5;(8*h + 14*t)*(x+5)^4;(h + 11*t)*(x+5)^3;(16*h + 13*t)*(x+5)^2;(11*h + t)*(x+5);(10*h + t)
(h + 15*t)*(x+5)^16;(16*h + 8*t)*(x+5)^15;(10*h + 12*t)*(x+5)^14;(4*h + 11*t)*(x+5)^13;(16*h + 16*t)*(x+5)^12;(5*h + 16*t)*(x+5)^11;2*t*(x+5)^10;(3*h + t)*(x+5)^9;(16*h + 2*t)*(x+5)^8;(h + 9*t)*(x+5)^7;(7*h + 5*t)*(x+5)^6;(13*h + 6*t)*(x+5)^5;(h + t)*(x+5)^4;(2*h + 15*t)*(x+5)^3;(16*h + 12*t)*(x+5)^2;(16*h + 10*t)*(x+5);(h + t)
(h + 16*t)*(x+5)^16;(2*h + 13*t)*(x+5)^15;(9*h + 3*t)*(x+5)^14;5*h*(x+5)^13;(6*h + 12*t)*(x+5)^12;(h + 13*t)*(x+5)^11;(h + 4*t)*(x+5)^10;(15*h + 11*t)*(x+5)^9;(16*h + t)*(x+5)^8;(15*h + 4*t)*(x+5)^7;(8*h + 14*t)*(x+5)^6;12*h*(x+5)^5;(11*h + 5*t)*(x+5)^4;(3*h + 2*t)*(x+5)^3;(16*h + 11*t)*(x+5)^2;(4*h + 2*t)*(x+5);(9*h + t)

h*(x+6)^16;(6*h + t)*(x+6)^15;(2*h + 13*t)*(x+6)^14;(12*h + 8*t)*(x+6)^13;4*h*(x+6)^12;(7*h + 4*t)*(x+6)^11;(8*h + t)*(x+6)^10;(14*h + 15*t)*(x+6)^9;16*h*(x+6)^8;(11*h + 16*t)*(x+6)^7;(15*h + 4*t)*(x+6)^6;(5*h + 9*t)*(x+6)^5;13*h*(x+6)^4;(11*h + 12*t)*(x+6)^3;(7*h + t)*(x+6)^2;(6*h + 16*t)*(x+6);(15*h + 3*t)
t*(x+6)^16;(3*h + 6*t)*(x+6)^15;(5*h + 2*t)*(x+6)^14;(7*h + 12*t)*(x+6)^13;4*t*(x+6)^12;(12*h + 7*t)*(x+6)^11;(3*h + 8*t)*(x+6)^10;(11*h + 14*t)*(x+6)^9;16*t*(x+6)^8;(14*h + 11*t)*(x+6)^7;(12*h + 15*t)*(x+6)^6;(10*h + 5*t)*(x+6)^5;13*t*(x+6)^4;(2*h + 11*t)*(x+6)^3;(7*h + 7*t)*(x+6)^2;(12*h + 6*t)*(x+6);(12*h + 15*t)
(h + t)*(x+6)^16;(9*h + 7*t)*(x+6)^15;(7*h + 15*t)*(x+6)^14;(2*h + 3*t)*(x+6)^13;(4*h + 4*t)*(x+6)^12;(2*h + 11*t)*(x+6)^11;(11*h + 9*t)*(x+6)^10;(8*h + 12*t)*(x+6)^9;(16*h + 16*t)*(x+6)^8;(8*h + 10*t)*(x+6)^7;(10*h + 2*t)*(x+6)^6;(15*h + 14*t)*(x+6)^5;(13*h + 13*t)*(x+6)^4;(13*h + 6*t)*(x+6)^3;(14*h + 8*t)*(x+6)^2;(h + 5*t)*(x+6);(10*h + t)
(h + 2*t)*(x+6)^16;(12*h + 13*t)*(x+6)^15;12*h*(x+6)^14;(9*h + 15*t)*(x+6)^13;(4*h + 8*t)*(x+6)^12;(14*h + t)*(x+6)^11;14*h*(x+6)^10;(2*h + 9*t)*(x+6)^9;(16*h + 15*t)*(x+6)^8;(5*h + 4*t)*(x+6)^7;5*h*(x+6)^6;(8*h + 2*t)*(x+6)^5;(13*h + 9*t)*(x+6)^4;15*h*(x+6)^3;(4*h + 15*t)*(x+6)^2;(13*h + 11*t)*(x+6);(5*h + 16*t)
(h + 3*t)*(x+6)^16;(15*h + 2*t)*(x+6)^15;2*t*(x+6)^14;(16*h + 10*t)*(x+6)^13;(4*h + 12*t)*(x+6)^12;(9*h + 8*t)*(x+6)^11;8*t*(x+6)^10;(13*h + 6*t)*(x+6)^9;(16*h + 14*t)*(x+6)^8;(2*h + 15*t)*(x+6)^7;15*t*(x+6)^6;(h + 7*t)*(x+6)^5;(13*h + 5*t)*(x+6)^4;11*t*(x+6)^3;(11*h + 5*t)*(x+6)^2;8*h*(x+6);14*t
(h + 4*t)*(x+6)^16;(h + 8*t)*(x+6)^15;(5*h + 4*t)*(x+6)^14;(6*h + 5*t)*(x+6)^13;(4*h + 16*t)*(x+6)^12;(4*h + 15*t)*(x+6)^11;(3*h + 16*t)*(x+6)^10;(7*h + 3*t)*(x+6)^9;(16*h + 13*t)*(x+6)^8;(16*h + 9*t)*(x+6)^7;(12*h + 13*t)*(x+6)^6;(11*h + 12*t)*(x+6)^5;(13*h + t)*(x+6)^4;(2*h + 5*t)*(x+6)^3;(h + 12*t)*(x+6)^2;(3*h + 6*t)*(x+6);(12*h + 12*t)
(h + 5*t)*(x+6)^16;(4*h + 14*t)*(x+6)^15;(10*h + 6*t)*(x+6)^14;13*h*(x+6)^13;(4*h + 3*t)*(x+6)^12;(16*h + 5*t)*(x+6)^11;(6*h + 7*t)*(x+6)^10;h*(x+6)^9;(16*h + 12*t)*(x+6)^8;(13*h + 3*t)*(x+6)^7;(7*h + 11*t)*(x+6)^6;4*h*(x+6)^5;(13*h + 14*t)*(x+6)^4;(4*h + 16*t)*(x+6)^3;(8*h + 2*t)*(x+6)^2;(15*h + 12*t)*(x+6);(7*h + 10*t)
(h + 6*t)*(x+6)^16;(7*h + 3*t)*(x+6)^15;(15*h + 8*t)*(x+6)^14;(3*h + 12*t)*(x+6)^13;(4*h + 7*t)*(x+6)^12;(11*h + 12*t)*(x+6)^11;(9*h + 15*t)*(x+6)^10;(12*h + 14*t)*(x+6)^9;(16*h + 11*t)*(x+6)^8;(10*h + 14*t)*(x+6)^7;(2*h + 9*t)*(x+6)^6;(14*h + 5*t)*(x+6)^5;(13*h + 10*t)*(x+6)^4;(6*h + 10*t)*(x+6)^3;(15*h + 9*t)*(x+6)^2;(10*h + t)*(x+6);(2*h + 8*t)
(h + 7*t)*(x+6)^16;(10*h + 9*t)*(x+6)^15;(3*h + 10*t)*(x+6)^14;(10*h + 7*t)*(x+6)^13;(4*h + 11*t)*(x+6)^12;(6*h + 2*t)*(x+6)^11;(12*h + 6*t)*(x+6)^10;(6*h + 11*t)*(x+6)^9;(16*h + 10*t)*(x+6)^8;(7*h + 8*t)*(x+6)^7;(14*h + 7*t)*(x+6)^6;(7*h + 10*t)*(x+6)^5;(13*h + 6*t)*(x+6)^4;(8*h + 4*t)*(x+6)^3;(5*h + 16*t)*(x+6)^2;(5*h + 7*t)*(x+6);(14*h + 6*t)
(h + 8*t)*(x+6)^16;(13*h + 15*t)*(x+6)^15;(8*h + 12*t)*(x+6)^14;2*t*(x+6)^13;(4*h + 15*t)*(x+6)^12;(h + 9*t)*(x+6)^11;(15*h + 14*t)*(x+6)^10;8*t*(x+6)^9;(16*h + 9*t)*(x+6)^8;(4*h + 2*t)*(x+6)^7;(9*h + 5*t)*(x+6)^6;15*t*(x+6)^5;(13*h + 2*t)*(x+6)^4;(10*h + 15*t)*(x+6)^3;(12*h + 6*t)*(x+6)^2;13*t*(x+6);(9*h + 4*t)
(h + 9*t)*(x+6)^16;(16*h + 4*t)*(x+6)^15;(13*h + 14*t)*(x+6)^14;(7*h + 14*t)*(x+6)^13;(4*h + 2*t)*(x+6)^12;(13*h + 16*t)*(x+6)^11;(h + 5*t)*(x+6)^10;(11*h + 5*t)*(x+6)^9;(16*h + 8*t)*(x+6)^8;(h + 13*t)*(x+6)^7;(4*h + 3*t)*(x+6)^6;(10*h + 3*t)*(x+6)^5;(13*h + 15*t)*(x+6)^4;(12*h + 9*t)*(x+6)^3;(2*h + 13*t)*(x+6)^2;(12*h + 2*t)*(x+6);(4*h + 2*t)
(h + 10*t)*(x+6)^16;(2*h + 10*t)*(x+6)^15;(h + 16*t)*(x+6)^14;(14*h + 9*t)*(x+6)^13;(4*h + 6*t)*(x+6)^12;(8*h + 6*t)*(x+6)^11;(4*h + 13*t)*(x+6)^10;(5*h + 2*t)*(x+6)^9;(16*h + 7*t)*(x+6)^8;(15*h + 7*t)*(x+6)^7;(16*h + t)*(x+6)^6;(3*h + 8*t)*(x+6)^5;(13*h + 11*t)*(x+6)^4;(14*h + 3*t)*(x+6)^3;(9*h + 3*t)*(x+6)^2;(7*h + 8*t)*(x+6);16*h
(h + 11*t)*(x+6)^16;(5*h + 16*t)*(x+6)^15;(6*h + t)*(x+6)^14;(4*h + 4*t)*(x+6)^13;(4*h + 10*t)*(x+6)^12;(3*h + 13*t)*(x+6)^11;(7*h + 4*t)*(x+6)^10;(16*h + 16*t)*(x+6)^9;(16*h + 6*t)*(x+6)^8;(12*h + t)*(x+6)^7;(11*h + 16*t)*(x+6)^6;(13*h + 13*t)*(x+6)^5;(13*h + 7*t)*(x+6)^4;(16*h + 14*t)*(x+6)^3;(16*h + 10*t)*(x+6)^2;(2*h + 14*t)*(x+6);(11*h + 15*t)
(h + 12*t)*(x+6)^16;(8*h + 5*t)*(x+6)^15;(11*h + 3*t)*(x+6)^14;(11*h + 16*t)*(x+6)^13;(4*h + 14*t)*(x+6)^12;(15*h + 3*t)*(x+6)^11;(10*h + 12*t)*(x+6)^10;(10*h + 13*t)*(x+6)^9;(16*h + 5*t)*(x+6)^8;(9*h + 12*t)*(x+6)^7;(6*h + 14*t)*(x+6)^6;(6*h + t)*(x+6)^5;(13*h + 3*t)*(x+6)^4;(h + 8*t)*(x+6)^3;6*h*(x+6)^2;(14*h + 3*t)*(x+6);(6*h + 13*t)
(h + 13*t)*(x+6)^16;(11*h + 11*t)*(x+6)^15;(16*h + 5*t)*(x+6)^14;(h + 11*t)*(x+6)^13;(4*h + t)*(x+6)^12;(10*h + 10*t)*(x+6)^11;(13*h + 3*t)*(x+6)^10;(4*h + 10*t)*(x+6)^9;(16*h + 4*t)*(x+6)^8;(6*h + 6*t)*(x+6)^7;(h + 12*t)*(x+6)^6;(16*h + 6*t)*(x+6)^5;(13*h + 16*t)*(x+6)^4;(3*h + 2*t)*(x+6)^3;(13*h + 7*t)*(x+6)^2;(9*h + 9*t)*(x+6);(h + 11*t)
(h + 14*t)*(x+6)^16;14*h*(x+6)^15;(4*h + 7*t)*(x+6)^14;(8*h + 6*t)*(x+6)^13;(4*h + 5*t)*(x+6)^12;5*h*(x+6)^11;(16*h + 11*t)*(x+6)^10;(15*h + 7*t)*(x+6)^9;(16*h + 3*t)*(x+6)^8;3*h*(x+6)^7;(13*h + 10*t)*(x+6)^6;(9*h + 11*t)*(x+6)^5;(13*h + 12*t)*(x+6)^4;(5*h + 13*t)*(x+6)^3;(3*h + 14*t)*(x+6)^2;(4*h + 15*t)*(x+6);(13*h + 9*t)
(h + 15*t)*(x+6)^16;6*t*(x+6)^15;(9*h + 9*t)*(x+6)^14;(15*h + t)*(x+6)^13;(4*h + 9*t)*(x+6)^12;7*t*(x+6)^11;(2*h + 2*t)*(x+6)^10;(9*h + 4*t)*(x+6)^9;(16*h + 2*t)*(x+6)^8;11*t*(x+6)^7;(8*h + 8*t)*(x+6)^6;(2*h + 16*t)*(x+6)^5;(13*h + 8*t)*(x+6)^4;(7*h + 7*t)*(x+6)^3;(10*h + 4*t)*(x+6)^2;(16*h + 4*t)*(x+6);(8*h + 7*t)
(h + 16*t)*(x+6)^16;(3*h + 12*t)*(x+6)^15;(14*h + 11*t)*(x+6)^14;(5*h + 13*t)*(x+6)^13;(4*h + 13*t)*(x+6)^12;(12*h + 14*t)*(x+6)^11;(5*h + 10*t)*(x+6)^10;(3*h + t)*(x+6)^9;(16*h + t)*(x+6)^8;(14*h + 5*t)*(x+6)^7;(3*h + 6*t)*(x+6)^6;(12*h + 4*t)*(x+6)^5;(13*h + 4*t)*(x+6)^4;(9*h + t)*(x+6)^3;11*t*(x+6)^2;(11*h + 10*t)*(x+6);(3*h + 5*t)

h*(x+7)^16;(7*h + t)*(x+7)^15;(15*h + 15*t)*(x+7)^14;(3*h + 16*t)*(x+7)^13;(4*h + 12*t)*(x+7)^12;(11*h + 15*t)*(x+7)^11;(9*h + 12*t)*(x+7)^10;(12*h + 3*t)*(x+7)^9;(16*h + 2*t)*(x+7)^8;(10*h + 15*t)*(x+7)^7;(2*h + 11*t)*(x+7)^6;(14*h + 5*t)*(x+7)^5;(13*h + 3*t)*(x+7)^4;(7*h + 2*t)*(x+7)^3;(3*h + t)*(x+7)^2;15*h*(x+7);(9*h + 9*t)
t*(x+7)^16;(3*h + 7*t)*(x+7)^15;(11*h + 15*t)*(x+7)^14;(14*h + 3*t)*(x+7)^13;(2*h + 4*t)*(x+7)^12;(11*h + 11*t)*(x+7)^11;(2*h + 9*t)*(x+7)^10;(9*h + 12*t)*(x+7)^9;(6*h + 16*t)*(x+7)^8;(11*h + 10*t)*(x+7)^7;(16*h + 2*t)*(x+7)^6;(15*h + 14*t)*(x+7)^5;(9*h + 13*t)*(x+7)^4;(6*h + 7*t)*(x+7)^3;(7*h + 3*t)*(x+7)^2;(7*h + 15*t)*(x+7);(2*h + 9*t)
(h + t)*(x+7)^16;(10*h + 8*t)*(x+7)^15;(9*h + 13*t)*(x+7)^14;2*t*(x+7)^13;(6*h + 16*t)*(x+7)^12;(5*h + 9*t)*(x+7)^11;(11*h + 4*t)*(x+7)^10;(4*h + 15*t)*(x+7)^9;(5*h + t)*(x+7)^8;(4*h + 8*t)*(x+7)^7;(h + 13*t)*(x+7)^6;(12*h + 2*t)*(x+7)^5;(5*h + 16*t)*(x+7)^4;(13*h + 9*t)*(x+7)^3;(10*h + 4*t)*(x+7)^2;(5*h + 15*t)*(x+7);(11*h + t)
(h + 2*t)*(x+7)^16;(13*h + 15*t)*(x+7)^15;(3*h + 11*t)*(x+7)^14;(14*h + 5*t)*(x+7)^13;(8*h + 3*t)*(x+7)^12;(16*h + 3*t)*(x+7)^11;(13*h + 13*t)*(x+7)^10;(13*h + 10*t)*(x+7)^9;11*h*(x+7)^8;(15*h + t)*(x+7)^7;15*t*(x+7)^6;(10*h + 16*t)*(x+7)^5;(14*h + 12*t)*(x+7)^4;(2*h + 16*t)*(x+7)^3;7*t*(x+7)^2;(12*h + 13*t)*(x+7);(13*h + 10*t)
(h + 3*t)*(x+7)^16;(16*h + 5*t)*(x+7)^15;(14*h + 9*t)*(x+7)^14;(11*h + 8*t)*(x+7)^13;(10*h + 7*t)*(x+7)^12;(10*h + 14*t)*(x+7)^11;(15*h + 5*t)*(x+7)^10;(5*h + 5*t)*(x+7)^9;16*t*(x+7)^8;(9*h + 11*t)*(x+7)^7;16*h*(x+7)^6;(8*h + 13*t)*(x+7)^5;(6*h + 8*t)*(x+7)^4;(8*h + 6*t)*(x+7)^3;(7*h + 10*t)*(x+7)^2;(2*h + 11*t)*(x+7);(15*h + 2*t)
(h + 4*t)*(x+7)^16;(2*h + 12*t)*(x+7)^15;(8*h + 7*t)*(x+7)^14;(8*h + 11*t)*(x+7)^13;(12*h + 11*t)*(x+7)^12;(4*h + 8*t)*(x+7)^11;14*t*(x+7)^10;14*h*(x+7)^9;(6*h + 15*t)*(x+7)^8;(3*h + 4*t)*(x+7)^7;(15*h + 2*t)*(x+7)^6;(6*h + 10*t)*(x+7)^5;(15*h + 4*t)*(x+7)^4;(14*h + 13*t)*(x+7)^3;(14*h + 13*t)*(x+7)^2;(9*h + 9*t)*(x+7);11*t
(h + 5*t)*(x+7)^16;(5*h + 2*t)*(x+7)^15;(2*h + 5*t)*(x+7)^14;(5*h + 14*t)*(x+7)^13;(14*h + 15*t)*(x+7)^12;(15*h + 2*t)*(x+7)^11;(2*h + 6*t)*(x+7)^10;(6*h + 12*t)*(x+7)^9;(12*h + 14*t)*(x+7)^8;(14*h + 14*t)*(x+7)^7;(14*h + 4*t)*(x+7)^6;(4*h + 7*t)*(x+7)^5;7*h*(x+7)^4;(3*h + 3*t)*(x+7)^3;(4*h + 16*t)*(x+7)^2;(16*h + 7*t)*(x+7);(2*h + 3*t)
(h + 6*t)*(x+7)^16;(8*h + 9*t)*(x+7)^15;(13*h + 3*t)*(x+7)^14;2*h*(x+7)^13;(16*h + 2*t)*(x+7)^12;(9*h + 13*t)*(x+7)^11;(4*h + 15*t)*(x+7)^10;(15*h + 7*t)*(x+7)^9;(h + 13*t)*(x+7)^8;(8*h + 7*t)*(x+7)^7;(13*h + 6*t)*(x+7)^6;(2*h + 4*t)*(x+7)^5;(16*h + 13*t)*(x+7)^4;(9*h + 10*t)*(x+7)^3;(11*h + 2*t)*(x+7)^2;(6*h + 5*t)*(x+7);(4*h + 12*t)
(h + 7*t)*(x+7)^16;(11*h + 16*t)*(x+7)^15;(7*h + t)*(x+7)^14;(16*h + 3*t)*(x+7)^13;(h + 6*t)*(x+7)^12;(3*h + 7*t)*(x+7)^11;(6*h + 7*t)*(x+7)^10;(7*h + 2*t)*(x+7)^9;(7*h + 12*t)*(x+7)^8;2*h*(x+7)^7;(12*h + 8*t)*(x+7)^6;t*(x+7)^5;(8*h + 9*t)*(x+7)^4;15*h*(x+7)^3;(h + 5*t)*(x+7)^2;(13*h + 3*t)*(x+7);(6*h + 4*t)
(h + 8*t)*(x+7)^16;(14*h + 6*t)*(x+7)^15;(h + 16*t)*(x+7)^14;(13*h + 6*t)*(x+7)^13;(3*h + 10*t)*(x+7)^12;(14*h + t)*(x+7)^11;(8*h + 16*t)*(x+7)^10;(16*h + 14*t)*(x+7)^9;(13*h + 11*t)*(x+7)^8;(13*h + 10*t)*(x+7)^7;(11*h + 10*t)*(x+7)^6;(15*h + 15*t)*(x+7)^5;5*t*(x+7)^4;(4*h + 7*t)*(x+7)^3;(8*h + 8*t)*(x+7)^2;(3*h + t)*(x+7);(8*h + 13*t)
(h + 9*t)*(x+7)^16;13*t*(x+7)^15;(12*h + 14*t)*(x+7)^14;(10*h + 9*t)*(x+7)^13;(5*h + 14*t)*(x+7)^12;(8*h + 12*t)*(x+7)^11;(10*h + 8*t)*(x+7)^10;(8*h + 9*t)*(x+7)^9;(2*h + 10*t)*(x+7)^8;(7*h + 3*t)*(x+7)^7;(10*h + 12*t)*(x+7)^6;(13*h + 12*t)*(x+7)^5;(9*h + t)*(x+7)^4;(10*h + 14*t)*(x+7)^3;(15*h + 11*t)*(x+7)^2;(10*h + 16*t)*(x+7);(10*h + 5*t)
(h + 10*t)*(x+7)^16;(3*h + 3*t)*(x+7)^15;(6*h + 12*t)*(x+7)^14;(7*h + 12*t)*(x+7)^13;(7*h + t)*(x+7)^12;(2*h + 6*t)*(x+7)^11;12*h*(x+7)^10;4*t*(x+7)^9;(8*h + 9*t)*(x+7)^8;(h + 13*t)*(x+7)^7;(9*h + 14*t)*(x+7)^6;(11*h + 9*t)*(x+7)^5;(h + 14*t)*(x+7)^4;(16*h + 4*t)*(x+7)^3;(5*h + 14*t)*(x+7)^2;14*t*(x+7);(12*h + 14*t)
(h + 11*t)*(x+7)^16;(6*h + 10*t)*(x+7)^15;10*t*(x+7)^14;(4*h + 15*t)*(x+7)^13;(9*h + 5*t)*(x+7)^12;13*h*(x+7)^11;(14*h + 9*t)*(x+7)^10;(9*h + 16*t)*(x+7)^9;(14*h + 8*t)*(x+7)^8;(12*h + 6*t)*(x+7)^7;(8*h + 16*t)*(x+7)^6;(9*h + 6*t)*(x+7)^5;(10*h + 10*t)*(x+7)^4;(5*h + 11*t)*(x+7)^3;12*h*(x+7)^2;(7*h + 12*t)*(x+7);(14*h + 6*t)
(h + 12*t)*(x+7)^16;9*h*(x+7)^15;(11*h + 8*t)*(x+7)^14;(h + t)*(x+7)^13;(11*h + 9*t)*(x+7)^12;(7*h + 11*t)*(x+7)^11;(16*h + t)*(x+7)^10;(h + 11*t)*(x+7)^9;(3*h + 7*t)*(x+7)^8;(6*h + 16*t)*(x+7)^7;(7*h + t)*(x+7)^6;(7*h + 3*t)*(x+7)^5;(2*h + 6*t)*(x+7)^4;(11*h + t)*(x+7)^3;(2*h + 3*t)*(x+7)^2;(14*h + 10*t)*(x+7);(16*h + 15*t)
(h + 13*t)*(x+7)^16;(12*h + 7*t)*(x+7)^15;(5*h + 6*t)*(x+7)^14;(15*h + 4*t)*(x+7)^13;(13*h + 13*t)*(x+7)^12;(h + 5*t)*(x+7)^11;(h + 10*t)*(x+7)^10;(10*h + 6*t)*(x+7)^9;(9*h + 6*t)*(x+7)^8;9*t*(x+7)^7;(6*h + 3*t)*(x+7)^6;5*h*(x+7)^5;(11*h + 2*t)*(x+7)^4;8*t*(x+7)^3;(9*h + 6*t)*(x+7)^2;(4*h + 8*t)*(x+7);(h + 7*t)
(h + 14*t)*(x+7)^16;(15*h + 14*t)*(x+7)^15;(16*h + 4*t)*(x+7)^14;(12*h + 7*t)*(x+7)^13;15*h*(x+7)^12;(12*h + 16*t)*(x+7)^11;(3*h + 2*t)*(x+7)^10;(2*h + t)*(x+7)^9;(15*h + 5*t)*(x+7)^8;(11*h + 2*t)*(x+7)^7;(5*h + 5*t)*(x+7)^6;(3*h + 14*t)*(x+7)^5;(3*h + 15*t)*(x+7)^4;(6*h + 15*t)*(x+7)^3;(16*h + 9*t)*(x+7)^2;(11*h + 6*t)*(x+7);(3*h + 16*t)
