(h + 4*t)*(x+1)^16;(13*h + 5*t)*(x+1)^15;(3*h + 7*t)*(x+1)^14;11*t*(x+1)^13;(11*h + 2*t)*(x+1)^12;(16*h + t)*(x+1)^11;(9*h + 16*t)*(x+1)^10;(12*h + 12*t)*(x+1)^9;(h + 4*t)*(x+1)^8;(13*h + 5*t)*(x+1)^7;(3*h + 7*t)*(x+1)^6;11*t*(x+1)^5;(11*h + 2*t)*(x+1)^4;(5*h + 4*t)*(x+1)^3;(12*h + 6*t)*(x+1)^2;(5*h + 10*t)*(x+1);16*h
(h + 5*t)*(x+1)^16;(16*h + 6*t)*(x+1)^15;(12*h + 8*t)*(x+1)^14;(4*h + 12*t)*(x+1)^13;(5*h + 3*t)*(x+1)^12;(7*h + 2*t)*(x+1)^11;11*h*(x+1)^10;(2*h + 13*t)*(x+1)^9;(h + 5*t)*(x+1)^8;(16*h + 6*t)*(x+1)^7;(12*h + 8*t)*(x+1)^6;(4*h + 12*t)*(x+1)^5;(5*h + 3*t)*(x+1)^4;(10*h + 6*t)*(x+1)^3;(3*h + 3*t)*(x+1)^2;(6*h + 11*t)*(x+1);(16*h + t)
(h + 6*t)*(x+1)^16;(2*h + 7*t)*(x+1)^15;(4*h + 9*t)*(x+1)^14;(8*h + 13*t)*(x+1)^13;(16*h + 4*t)*(x+1)^12;(15*h + 3*t)*(x+1)^11;(13*h + t)*(x+1)^10;(9*h + 14*t)*(x+1)^9;(h + 6*t)*(x+1)^8;(2*h + 7*t)*(x+1)^7;(4*h + 9*t)*(x+1)^6;(8*h + 13*t)*(x+1)^5;(16*h + 4*t)*(x+1)^4;(15*h + 8*t)*(x+1)^3;11*h*(x+1)^2;(7*h + 12*t)*(x+1);(16*h + 15*t)
(h + 7*t)*(x+1)^16;(5*h + 8*t)*(x+1)^15;(13*h + 10*t)*(x+1)^14;(12*h + 14*t)*(x+1)^13;(10*h + 5*t)*(x+1)^12;(6*h + 4*t)*(x+1)^11;(15*h + 2*t)*(x+1)^10;(16*h + 15*t)*(x+1)^9;(h + 7*t)*(x+1)^8;(5*h + 8*t)*(x+1)^7;(13*h + 10*t)*(x+1)^6;(12*h + 14*t)*(x+1)^5;(10*h + 5*t)*(x+1)^4;(3*h + 10*t)*(x+1)^3;(3*h + t)*(x+1)^2;(8*h + 13*t)*(x+1);16*t
(h + 8*t)*(x+1)^16;(8*h + 9*t)*(x+1)^15;(5*h + 11*t)*(x+1)^14;(16*h + 15*t)*(x+1)^13;(4*h + 6*t)*(x+1)^12;(14*h + 5*t)*(x+1)^11;3*t*(x+1)^10;(6*h + 16*t)*(x+1)^9;(h + 8*t)*(x+1)^8;(8*h + 9*t)*(x+1)^7;(5*h + 11*t)*(x+1)^6;(16*h + 15*t)*(x+1)^5;(4*h + 6*t)*(x+1)^4;(8*h + 12*t)*(x+1)^3;(10*h + 15*t)*(x+1)^2;(9*h + 10*t)*(x+1);16*h
(h + 9*t)*(x+1)^16;(11*h + 10*t)*(x+1)^15;(14*h + 12*t)*(x+1)^14;(3*h + 16*t)*(x+1)^13;(15*h + 7*t)*(x+1)^12;(5*h + 6*t)*(x+1)^11;(2*h + 4*t)*(x+1)^10;13*h*(x+1)^9;(h + 9*t)*(x+1)^8;(11*h + 10*t)*(x+1)^7;(14*h + 12*t)*(x+1)^6;(3*h + 16*t)*(x+1)^5;(15*h + 7*t)*(x+1)^4;(13*h + 14*t)*(x+1)^3;(h + 16*t)*(x+1)^2;(10*h + 11*t)*(x+1);(16*h + t)
(h + 10*t)*(x+1)^16;(14*h + 11*t)*(x+1)^15;(6*h + 13*t)*(x+1)^14;7*h*(x+1)^13;(9*h + 8*t)*(x+1)^12;(13*h + 7*t)*(x+1)^11;(4*h + 5*t)*(x+1)^10;(3*h + t)*(x+1)^9;(h + 10*t)*(x+1)^8;(14*h + 11*t)*(x+1)^7;(6*h + 13*t)*(x+1)^6;7*h*(x+1)^5;(9*h + 8*t)*(x+1)^4;(h + 16*t)*(x+1)^3;(9*h + 9*t)*(x+1)^2;(11*h + 12*t)*(x+1);(16*h + 2*t)
(h + 11*t)*(x+1)^16;12*t*(x+1)^15;(15*h + 14*t)*(x+1)^14;(11*h + t)*(x+1)^13;(3*h + 9*t)*(x+1)^12;(4*h + 8*t)*(x+1)^11;(6*h + 6*t)*(x+1)^10;(10*h + 2*t)*(x+1)^9;(h + 11*t)*(x+1)^8;12*t*(x+1)^7;(15*h + 14*t)*(x+1)^6;(11*h + t)*(x+1)^5;(3*h + 9*t)*(x+1)^4;(6*h + t)*(x+1)^3;10*t*(x+1)^2;(12*h + 13*t)*(x+1);(16*h + 3*t)
(h + 12*t)*(x+1)^16;(3*h + 13*t)*(x+1)^15;(7*h + 15*t)*(x+1)^14;(15*h + 2*t)*(x+1)^13;(14*h + 10*t)*(x+1)^12;(12*h + 9*t)*(x+1)^11;(8*h + 7*t)*(x+1)^10;3*t*(x+1)^9;(h + 12*t)*(x+1)^8;(3*h + 13*t)*(x+1)^7;(7*h + 15*t)*(x+1)^6;(15*h + 2*t)*(x+1)^5;(14*h + 10*t)*(x+1)^4;(11*h + 3*t)*(x+1)^3;(9*h + 3*t)*(x+1)^2;(13*h + 14*t)*(x+1);13*t
(h + 13*t)*(x+1)^16;(6*h + 14*t)*(x+1)^15;(16*h + 16*t)*(x+1)^14;(2*h + 3*t)*(x+1)^13;(8*h + 11*t)*(x+1)^12;(3*h + 10*t)*(x+1)^11;(10*h + 8*t)*(x+1)^10;(7*h + 4*t)*(x+1)^9;(h + 13*t)*(x+1)^8;(6*h + 14*t)*(x+1)^7;(16*h + 16*t)*(x+1)^6;(2*h + 3*t)*(x+1)^5;(8*h + 11*t)*(x+1)^4;(16*h + 5*t)*(x+1)^3;(16*h + 4*t)*(x+1)^2;(14*h + 15*t)*(x+1);(16*h + 14*t)
